event,place,team,name,time,is_prelims,meet,year,location
200 Medley Relay Men,1,Columbia,Columbia,85.46,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Medley Relay Men,2,Harvard,Harvard,86.34,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Medley Relay Men,3,Cornell,Cornell,86.64,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Medley Relay Men,4,Penn,Penn,87.42,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Medley Relay Men,5,Brown,Brown,87.53,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Medley Relay Men,6,Princeton,Princeton,87.63,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Medley Relay Men,7,Yale,Yale,87.98,False,Ivy League Championships (M),2020,"Boston, Ma"
200 Medley Relay Men,8,Dartmouth,Dartmouth,91.03,False,Ivy League Championships (M),2020,"Boston, Ma"
800 Free Relay Men,1,Harvard,Harvard,380.96,False,Ivy League Championships (M),2020,"Boston, Ma"
800 Free Relay Men,2,Princeton,Princeton,384.08,False,Ivy League Championships (M),2020,"Boston, Ma"
800 Free Relay Men,3,Brown,Brown,385.56,False,Ivy League Championships (M),2020,"Boston, Ma"
800 Free Relay Men,4,Yale,Yale,387.04,False,Ivy League Championships (M),2020,"Boston, Ma"
800 Free Relay Men,5,Dartmouth,Dartmouth,388.88,False,Ivy League Championships (M),2020,"Boston, Ma"
800 Free Relay Men,6,Cornell,Cornell,391.25,False,Ivy League Championships (M),2020,"Boston, Ma"
800 Free Relay Men,7,Penn,Penn,391.63,False,Ivy League Championships (M),2020,"Boston, Ma"
800 Free Relay Men,8,Columbia,Columbia,398.74,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,1,Harvard,Cole Kuster,258.17,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,2,Dartmouth,Connor LaMastra,258.68,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,3,Princeton,Levy Nathan,261.11,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,4,Princeton,Nicholas Lim,261.55,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,5,Penn,Will Kamps,261.57,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,6,Brown,Lukas Scheidl,261.79,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,7,Penn,Billy Fallon,265.7,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,8,Princeton,Dylan Porges,269.72,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,9,Harvard,Corban Rawls,263.46,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,10,Harvard,Zachary Snyder,263.85,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,11,Princeton,Sam Tarter,264.1,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,12,Columbia,Jack Scanlon,264.64,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,13,Harvard,Noah Brune,265.68,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,14,Harvard,Marcus Holmquist,266.56,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,15,Princeton,John Ehling,267.26,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,16,Princeton,Peyton Werner,267.77,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,17,Brown,Michael Lincoln,262.36,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,18,Princeton,Brendan Firlie,263.67,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,19,Brown,Riley Pestorius,264.69,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,20,Brown,Tyler Lu,267.01,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,21,Yale,Patrick Frith,267.41,False,Ivy League Championships (M),2020,"Boston, Ma"
500 Free Men,22,Dartmouth,Joseph Moll,267.57,False,Ivy League Championships (M),2020,"Boston, Ma"
